Website_A_Times Website_A_Clicks Website_B_Times Website_B_Clicks
23.65 15 38.60  5
25.63 11 44.70  8
29.69 14 41.92 19
23.94 10 49.35 16
17.25 10 34.68 21
26.89 16 36.18 19
22.02 15 39.17 10
29.96 13 42.43  7
17.19 12 52.63 14
24.40 10 48.87  7
16.72 10 52.08 18
11.39 11 50.73 16
16.27 13 53.64 12
15.63 10 54.82 15
26.69  7 48.63 20
13.42 12 42.51 12
25.49  9 42.68 20
26.07  9 47.27 16
10.31 11 34.50 18
22.86 13 39.63  4
10.58 11 47.33 11
15.47 12 43.94 21
18.97  9 40.03 20
24.59 15 29.13 19
11.73 11 39.91  4
13.89  8 51.41 16
22.24  9 43.68 13
24.50  9 42.89  4
29.26 17 43.35  7
11.57 16 40.55 17
21.13 10 51.01  7
17.50 17 43.25  7
29.71 12 44.76 10
27.35  9 47.21 14
26.84 11 43.80 19
26.66 11 41.64 17
21.10 14 51.50 11
24.55 16 57.01  9
11.49 16 43.78  9
19.77 11 44.41 19
22.00 12 49.43  5
28.77 12 55.23  6
21.40 15 47.96 10
21.14 14 40.09  4
18.56 16 34.69 10
21.43 16 43.98  5
10.15 11 46.83 13
18.63  7 39.30  9
29.76 16 47.60 21
11.04  8 49.80 21
19.45 17 47.72  5
19.41  8 45.40 14
24.32  8 51.77 14
26.29 17 39.56 12
11.38 17 50.88 20
23.25  9 48.58  8
26.23 14 42.64  9
16.29 13 41.99  5
14.32  8 49.32  4
22.17  7 43.56 14
20.44  8 42.85  4
16.11 15 49.36 20
17.99  9 48.01  6
18.37  8 48.04 13
27.27  8 51.12  6
19.83 13 41.28 14
22.53 10 50.91  8
16.86 10 45.85 19
23.90  7 51.98 12
26.29  8 44.90  7
29.18 10 37.87 21
14.90 15 45.92  6
25.70  9 34.77 16
17.76 15 47.59 21
19.23 13 52.44 18
10.14  8 41.34 13
23.97  7 48.05  8
12.72 11 40.43 19
28.27 16 42.70 12
14.54  7 56.46  4
25.71  9 46.92 17
25.63 10 39.35 17
26.45  8 47.15  5
23.08 12 53.06 20
17.90 11 43.33 12
26.50 15 49.52 18
26.15 13 41.05 15
18.97  7 37.43 15
20.44  7 37.54  7
24.08 13 39.54  6
26.80 10 41.58 20
28.93  8 47.93  7
17.10  9 50.55  6
26.01 17 48.18 12
17.61 11 46.65 14
21.05 14 46.66 15
18.71 16 44.92 15
24.09  9 43.95  4
23.58 16 49.17 14
15.22 13 46.09 10
