STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160101,0.01,3.9,0.3,36,41,30,7.4,310,320,18.1,25.1,-9999,1,-9999,-9999,-9999,1,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160102,0.00,3.9,0.0,33,37,29,9.4,270,260,18.1,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160103,0.00,3.9,0.0,35,40,26,8.5,260,240,17.0,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160104,0.00,3.1,0.0,26,31,8,12.8,350,360,21.0,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160105,0.00,3.1,0.0,13,26,4,7.2,340,340,19.9,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160106,0.00,3.1,0.0,24,41,12,4.7,220,250,8.9,13.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160107,0.00,3.1,0.0,28,39,12,2.2,30,40,6.9,8.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160108,0.00,3.1,0.0,27,39,17,6.9,70,90,16.1,19.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160109,0.07,3.1,0.2,34,36,30,4.9,50,60,14.1,17.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160110,2.04,3.1,0.0,40,52,34,13.9,140,160,36.0,49.0,-9999,1,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160111,0.00,0.0,0.0,38,47,23,14.3,270,240,25.9,36.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160112,0.57,0.0,6.1,25,37,19,6.7,280,280,28.0,34.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
